R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
0.13548079140415661,6500000764.728531,76.47650093868606,6500000688.25203
0.14124880826205083,6500000831.2308855,83.13034645321416,6500000748.100539
0.14726239512384073,6500000903.509279,90.35610347647352,6500000813.153175
0.15353200699135813,6500000982.077342,98.21490728905862,6500000883.862434
0.16006854398213127,6500001067.476597,106.75640347880137,6500000960.720193
0.16688337027992878,6500001160.303998,116.04292438713863,6500001044.261074
0.17398833389211546,6500001261.196128,126.1300052718593,6500001135.066123
0.18139578724816263,6500001370.866317,137.09931368278168,6500001233.767003
0.18911860867512872,6500001490.076387,149.0261683359119,6500001341.05022
0.1971702247874488,6500001619.644957,161.98288441924706,6500001457.662072
0.2055646338299539,6500001760.485405,176.0718122865247,6500001584.413592
0.21431643001470507,6500001913.567585,191.3811830442274,6500001722.186402
0.22344082889395903,6500002079.961257,208.0224634160645,6500001871.938793
0.2329536938133664,6500002260.826293,226.11393127437523,6500002034.712361
0.2428715634914067,6500002457.413304,245.77407232797307,6500002211.639232
0.25321168077299605,6500002671.097501,267.147464911148,6500002403.950036
0.2639920226072665,6500002903.360345,290.3782075224957,6500002612.982138
0.27523133130163213,6500003155.820941,315.63140368856966,6500002840.189537
0.28694914710647634,6500003430.234686,343.0822529503207,6500003087.152433
0.2991658421871169,6500003728.505978,372.91770333967355,6500003355.588274
0.31190265604210643,6500004052.705224,405.3411271792728,6500003647.364097
0.3251817324294441,6500004405.104822,440.59587295216573,6500003964.508949
0.33902615786490614,6500004788.137605,478.9089850700662,6500004309.22862
0.35346000175941295,6500005204.47501,520.5547900946037,6500004683.920219
0.3685083582652265,6500005657.013169,565.8236087463265,6500005091.189561
0.38419738990372554,6500006148.894631,615.0257669275795,6500005533.868864
0.40055437305060426,6500006683.549385,668.5129794758337,6500006015.036406
0.41760774535758205,6500007264.682575,726.644272910134,6500006538.038302
0.435387155193062,6500007896.346364,789.8350998911575,6500007106.511264
0.453923513187698,6500008582.928297,858.52011878086,6500007724.408178
0.473249045974487,6500009329.203684,933.1780279539232,6500008396.025656
0.49339735221680925,6500010140.358686,1014.3251357758339,6500009126.03355
0.5144034610218355,6500011022.043151,1102.535560610729,6500009919.50759
0.5363038928408516,6500011980.375487,1198.410667018157,6500010781.96482
